,All_NBA_Team,Player,Pts Won,Pts Max,Share,Year,Winner
0,1st,Michael Jordan,476,480,0.992,1990,1
1,1st,Magic Johnson,472,480,0.983,1990,1
2,1st,Karl Malone,464,480,0.967,1990,1
3,1st,David Robinson,458,480,0.954,1990,1
4,1st,Charles Barkley,452,480,0.942,1990,1
5,2nd,Patrick Ewing,240,480,0.5,1990,2
6,2nd,Dominique Wilkins,224,480,0.467,1990,2
7,2nd,Kevin Johnson,212,480,0.442,1990,2
8,2nd,Clyde Drexler,202,480,0.421,1990,2
9,2nd,Chris Mullin,141,480,0.294,1990,2
10,3rd,John Stockton,160,480,0.333,1990,3
11,3rd,James Worthy,117,480,0.244,1990,3
12,3rd,Bernard King,111,480,0.231,1990,3
13,3rd,Hakeem Olajuwon,100,480,0.208,1990,3
14,3rd,Joe Dumars,61,480,0.127,1990,3
15,ORV,Larry Bird,104,480,0.217,1990,0
16,ORV,Tim Hardaway,53,480,0.11,1990,0
17,ORV,Robert Parish,47,480,0.098,1990,0
18,ORV,Terry Porter,32,480,0.067,1990,0
19,ORV,Otis Thorpe,25,480,0.052,1990,0
20,ORV,Scottie Pippen,22,480,0.046,1990,0
21,ORV,Mitch Richmond,19,480,0.04,1990,0
22,ORV,Buck Williams,19,480,0.04,1990,0
23,ORV,Brad Daugherty,18,480,0.038,1990,0
24,ORV,Dennis Rodman,18,480,0.038,1990,0
25,ORV,Reggie Miller,16,480,0.033,1990,0
26,ORV,Kevin McHale,13,480,0.027,1990,0
27,ORV,Michael Adams,9,480,0.019,1990,0
28,ORV,Lionel Simmons,6,480,0.012,1990,0
29,ORV,Hersey Hawkins,4,480,0.008,1990,0
30,ORV,Isiah Thomas,4,480,0.008,1990,0
31,ORV,Tom Chambers,3,480,0.006,1990,0
32,ORV,Alvin Robertson,3,480,0.006,1990,0
33,ORV,Charles Smith,3,480,0.006,1990,0
34,ORV,Kenny Smith,3,480,0.006,1990,0
35,ORV,Horace Grant,2,480,0.004,1990,0
36,ORV,Larry Nance,2,480,0.004,1990,0
37,ORV,Derrick Coleman,1,480,0.002,1990,0
38,ORV,Kevin Duckworth,1,480,0.002,1990,0
39,ORV,Derek Harper,1,480,0.002,1990,0
40,ORV,Jeff Hornacek,1,480,0.002,1990,0
41,ORV,Jerome Kersey,1,480,0.002,1990,0
42,1st,Michael Jordan,478,480,0.996,1991,1
43,1st,Karl Malone,466,480,0.971,1991,1
44,1st,Clyde Drexler,408,480,0.85,1991,1
45,1st,David Robinson,397,480,0.827,1991,1
46,1st,Chris Mullin,379,480,0.79,1991,1
47,2nd,Scottie Pippen,341,480,0.71,1991,2
48,2nd,Patrick Ewing,309,480,0.644,1991,2
49,2nd,Tim Hardaway,288,480,0.6,1991,2
50,2nd,John Stockton,269,480,0.56,1991,2
51,2nd,Charles Barkley,196,480,0.408,1991,2
52,3rd,Dennis Rodman,179,480,0.373,1991,3
53,3rd,Mark Price,81,480,0.169,1991,3
54,3rd,Kevin Johnson,78,480,0.162,1991,3
55,3rd,Brad Daugherty,70,480,0.146,1991,3
56,3rd,Kevin Willis,38,480,0.079,1991,3
57,ORV,Jeff Hornacek,50,480,0.104,1991,0
58,ORV,Hakeem Olajuwon,37,480,0.077,1991,0
59,ORV,Joe Dumars,28,480,0.058,1991,0
60,ORV,Larry Johnson,26,480,0.054,1991,0
61,ORV,Danny Manning,26,480,0.054,1991,0
62,ORV,Larry Bird,21,480,0.044,1991,0
63,ORV,Reggie Lewis*,17,480,0.035,1991,0
64,ORV,Larry Nance,16,480,0.033,1991,0
65,ORV,Isiah Thomas,10,480,0.021,1991,0
66,ORV,Mitch Richmond,9,480,0.019,1991,0
67,ORV,Horace Grant,8,480,0.017,1991,0
68,ORV,Detlef Schrempf,8,480,0.017,1991,0
69,ORV,Glen Rice,6,480,0.012,1991,0
70,ORV,Otis Thorpe,6,480,0.012,1991,0
71,ORV,Kendall Gill,3,480,0.006,1991,0
72,ORV,Jeff Malone,3,480,0.006,1991,0
73,ORV,Robert Parish,3,480,0.006,1991,0
74,ORV,Dominique Wilkins,3,480,0.006,1991,0
75,ORV,Buck Williams,3,480,0.006,1991,0
76,ORV,Reggie Miller,2,480,0.004,1991,0
77,ORV,Ricky Pierce,2,480,0.004,1991,0
78,ORV,James Worthy,2,480,0.004,1991,0
79,ORV,Mookie Blaylock,1,480,0.002,1991,0
80,ORV,Derrick Coleman,1,480,0.002,1991,0
81,ORV,Terry Cummings,1,480,0.002,1991,0
82,ORV,Ron Harper,1,480,0.002,1991,0
83,ORV,Mark Jackson,1,480,0.002,1991,0
84,ORV,Terry Porter,1,480,0.002,1991,0
85,1st,Charles Barkley,490,490,1.0,1992,1
86,1st,Michael Jordan,490,490,1.0,1992,1
87,1st,Hakeem Olajuwon,455,490,0.929,1992,1
88,1st,Karl Malone,377,490,0.769,1992,1
89,1st,Mark Price,344,490,0.702,1992,1
90,2nd,Dominique Wilkins,372,490,0.759,1992,2
91,2nd,John Stockton,294,490,0.6,1992,2
92,2nd,Patrick Ewing,292,490,0.596,1992,2
93,2nd,Joe Dumars,290,490,0.592,1992,2
94,2nd,Larry Johnson,155,490,0.316,1992,2
95,3rd,Scottie Pippen,136,490,0.278,1992,3
96,3rd,Tim Hardaway,99,490,0.202,1992,3
97,3rd,Dražen Petrović,86,490,0.176,1992,3
98,3rd,David Robinson,72,490,0.147,1992,3
99,3rd,Derrick Coleman,60,490,0.122,1992,3
100,ORV,Shaquille O'Neal,58,490,0.118,1992,0
101,ORV,Danny Manning,55,490,0.112,1992,0
102,ORV,Dan Majerle,49,490,0.1,1992,0
103,ORV,Shawn Kemp,45,490,0.092,1992,0
104,ORV,Detlef Schrempf,28,490,0.057,1992,0
105,ORV,Reggie Lewis,26,490,0.053,1992,0
106,ORV,Kevin Johnson,14,490,0.029,1992,0
107,ORV,Dennis Rodman,14,490,0.029,1992,0
108,ORV,Reggie Miller,11,490,0.022,1992,0
109,ORV,Larry Nance,9,490,0.018,1992,0
110,ORV,John Starks,8,490,0.016,1992,0
111,ORV,Clyde Drexler,7,490,0.014,1992,0
112,ORV,Sean Elliott,7,490,0.014,1992,0
113,ORV,Isiah Thomas,7,490,0.014,1992,0
114,ORV,Jeff Hornacek,6,490,0.012,1992,0
115,ORV,Chris Mullin,6,490,0.012,1992,0
116,ORV,Clifford Robinson,5,490,0.01,1992,0
117,ORV,Kenny Anderson,4,490,0.008,1992,0
118,ORV,Mookie Blaylock,4,490,0.008,1992,0
119,ORV,Brad Daugherty,4,490,0.008,1992,0
120,ORV,Mark Jackson,3,490,0.006,1992,0
121,ORV,Scott Skiles,3,490,0.006,1992,0
122,ORV,Doug West,3,490,0.006,1992,0
123,ORV,Ricky Pierce,2,490,0.004,1992,0
124,ORV,Kevin Willis,2,490,0.004,1992,0
125,ORV,Muggsy Bogues,1,490,0.002,1992,0
126,ORV,Horace Grant,1,490,0.002,1992,0
127,ORV,Derek Harper,1,490,0.002,1992,0
128,ORV,Alonzo Mourning,1,490,0.002,1992,0
129,ORV,Gary Payton,1,490,0.002,1992,0
130,ORV,Charles Smith,1,490,0.002,1992,0
131,ORV,Steve Smith,1,490,0.002,1992,0
132,ORV,Rod Strickland,1,490,0.002,1992,0
133,ORV,Otis Thorpe,1,490,0.002,1992,0
134,1st,Scottie Pippen,485,515,0.942,1993,1
135,1st,Hakeem Olajuwon,433,515,0.841,1993,1
136,1st,Karl Malone,417,515,0.81,1993,1
137,1st,John Stockton,356,515,0.691,1993,1
138,1st,Latrell Sprewell,252,515,0.489,1993,1
139,2nd,David Robinson,341,515,0.662,1993,2
140,2nd,Shawn Kemp,212,515,0.411,1993,2
141,2nd,Charles Barkley,204,515,0.396,1993,2
142,2nd,Mitch Richmond,198,515,0.384,1993,2
143,2nd,Kevin Johnson,190,515,0.369,1993,2
144,3rd,Mark Price,182,515,0.353,1993,3
145,3rd,Gary Payton,175,515,0.34,1993,3
146,3rd,Derrick Coleman,139,515,0.27,1993,3
147,3rd,Dominique Wilkins,106,515,0.206,1993,3
148,3rd,Shaquille O'Neal,95,515,0.183,1993,3
149,ORV,Kenny Anderson,170,515,0.33,1993,0
150,ORV,Reggie Miller,106,515,0.206,1993,0
151,ORV,Mookie Blaylock,95,515,0.184,1993,0
152,ORV,Kevin Willis,77,515,0.15,1993,0
153,ORV,Dennis Rodman,52,515,0.101,1993,0
154,ORV,Charles Oakley,41,515,0.079,1993,0
155,ORV,Patrick Ewing,35,515,0.068,1993,0
156,ORV,Horace Grant,35,515,0.068,1993,0
157,ORV,Joe Dumars,34,515,0.066,1993,0
158,ORV,Danny Manning,34,515,0.066,1993,0
159,ORV,Rod Strickland,11,515,0.021,1993,0
160,ORV,Clyde Drexler,8,515,0.016,1993,0
161,ORV,B.J. Armstrong,6,515,0.012,1993,0
162,ORV,Dan Majerle,6,515,0.012,1993,0
163,ORV,Steve Smith,6,515,0.012,1993,0
164,ORV,Dikembe Mutombo,5,515,0.01,1993,0
165,ORV,Glen Rice,5,515,0.01,1993,0
166,ORV,Clifford Robinson,5,515,0.01,1993,0
167,ORV,Stacey Augmon,4,515,0.008,1993,0
168,ORV,Kendall Gill,4,515,0.008,1993,0
169,ORV,Nate McMillan,3,515,0.006,1993,0
170,ORV,Detlef Schrempf,3,515,0.006,1993,0
171,ORV,Muggsy Bogues,2,515,0.004,1993,0
172,ORV,Anfernee Hardaway,2,515,0.004,1993,0
173,ORV,Tom Gugliotta,1,515,0.002,1993,0
174,ORV,Ron Harper,1,515,0.002,1993,0
175,ORV,Jeff Hornacek,1,515,0.002,1993,0
176,ORV,Jim Jackson,1,515,0.002,1993,0
177,ORV,Derrick McKey,1,515,0.002,1993,0
178,ORV,John Starks,1,515,0.002,1993,0
179,ORV,Clarence Weatherspoon,1,515,0.002,1993,0
180,ORV,Chris Webber,1,515,0.002,1993,0
181,1st,Karl Malone,519,525,0.989,1994,1
182,1st,David Robinson,479,525,0.912,1994,1
183,1st,Scottie Pippen,451,525,0.859,1994,1
184,1st,John Stockton,447,525,0.851,1994,1
185,1st,Anfernee Hardaway,394,525,0.75,1994,1
186,2nd,Charles Barkley,363,525,0.691,1994,2
187,2nd,Gary Payton,342,525,0.651,1994,2
188,2nd,Shaquille O'Neal,311,525,0.592,1994,2
189,2nd,Mitch Richmond,253,525,0.482,1994,2
190,2nd,Shawn Kemp,161,525,0.307,1994,2
191,3rd,Reggie Miller,158,525,0.301,1994,3
192,3rd,Dennis Rodman,113,525,0.215,1994,3
193,3rd,Hakeem Olajuwon,102,525,0.194,1994,3
194,3rd,Detlef Schrempf,95,525,0.181,1994,3
195,3rd,Clyde Drexler,73,525,0.139,1994,3
196,ORV,Jamal Mashburn,64,525,0.122,1994,0
197,ORV,Patrick Ewing,51,525,0.097,1994,0
198,ORV,Michael Jordan,44,525,0.084,1994,0
199,ORV,Jim Jackson,35,525,0.067,1994,0
200,ORV,Dana Barros,32,525,0.061,1994,0
201,ORV,Larry Johnson,26,525,0.05,1994,0
202,ORV,Cedric Ceballos,20,525,0.038,1994,0
203,ORV,Glen Rice,18,525,0.034,1994,0
204,ORV,Horace Grant,17,525,0.032,1994,0
205,ORV,Vin Baker,16,525,0.03,1994,0
206,ORV,Nick Van Exel,13,525,0.025,1994,0
207,ORV,Joe Dumars,11,525,0.021,1994,0
208,ORV,Jason Kidd,10,525,0.019,1994,0
209,ORV,Tim Hardaway,9,525,0.017,1994,0
210,ORV,Muggsy Bogues,7,525,0.013,1994,0
211,ORV,Sean Elliott,7,525,0.013,1994,0
212,ORV,Tyrone Hill,7,525,0.013,1994,0
213,ORV,Latrell Sprewell,6,525,0.011,1994,0
214,ORV,Mookie Blaylock,5,525,0.01,1994,0
215,ORV,Glenn Robinson,5,525,0.01,1994,0
216,ORV,Grant Hill,4,525,0.008,1994,0
217,ORV,Jeff Hornacek,4,525,0.008,1994,0
218,ORV,Nick Anderson,3,525,0.006,1994,0
219,ORV,B.J. Armstrong,3,525,0.006,1994,0
220,ORV,Dale Davis,3,525,0.006,1994,0
221,ORV,Mark Price,3,525,0.006,1994,0
222,ORV,Spud Webb,3,525,0.006,1994,0
223,ORV,Avery Johnson,2,525,0.004,1994,0
224,ORV,Alonzo Mourning,2,525,0.004,1994,0
225,ORV,Stacey Augmon,1,525,0.002,1994,0
226,ORV,Danny Manning,1,525,0.002,1994,0
227,ORV,John Starks,1,525,0.002,1994,0
228,1st,Michael Jordan,565,565,1.0,1995,1
229,1st,Scottie Pippen,517,565,0.915,1995,1
230,1st,Anfernee Hardaway,516,565,0.913,1995,1
231,1st,Karl Malone,509,565,0.901,1995,1
232,1st,David Robinson,442,565,0.782,1995,1
233,2nd,Hakeem Olajuwon,378,565,0.669,1995,2
234,2nd,Shawn Kemp,306,565,0.542,1995,2
235,2nd,Gary Payton,294,565,0.52,1995,2
236,2nd,Grant Hill,266,565,0.471,1995,2
237,2nd,John Stockton,258,565,0.457,1995,2
238,3rd,Charles Barkley,236,565,0.418,1995,3
239,3rd,Shaquille O'Neal,185,565,0.327,1995,3
240,3rd,Mitch Richmond,167,565,0.296,1995,3
241,3rd,Reggie Miller,90,565,0.159,1995,3
242,3rd,Juwan Howard,68,565,0.12,1995,3
243,ORV,Dennis Rodman,57,565,0.101,1995,0
244,ORV,Jason Kidd,43,565,0.076,1995,0
245,ORV,Rod Strickland,33,565,0.058,1995,0
246,ORV,Sean Elliott,27,565,0.048,1995,0
247,ORV,Terrell Brandon,25,565,0.044,1995,0
248,ORV,Vin Baker,23,565,0.041,1995,0
249,ORV,Clyde Drexler,18,565,0.032,1995,0
250,ORV,Glen Rice,10,565,0.018,1995,0
251,ORV,Detlef Schrempf,9,565,0.016,1995,0
252,ORV,Alonzo Mourning,8,565,0.014,1995,0
253,ORV,Magic Johnson,7,565,0.012,1995,0
254,ORV,Patrick Ewing,3,565,0.005,1995,0
255,ORV,Horace Grant,3,565,0.005,1995,0
256,ORV,Allan Houston,3,565,0.005,1995,0
257,ORV,Dennis Scott,3,565,0.005,1995,0
258,ORV,Latrell Sprewell,3,565,0.005,1995,0
259,ORV,Larry Johnson,2,565,0.004,1995,0
260,ORV,Mookie Blaylock,1,565,0.002,1995,0
261,ORV,Elden Campbell,1,565,0.002,1995,0
262,ORV,Cedric Ceballos,1,565,0.002,1995,0
263,ORV,Avery Johnson,1,565,0.002,1995,0
264,ORV,Kevin Johnson,1,565,0.002,1995,0
265,ORV,Dikembe Mutombo,1,565,0.002,1995,0
266,ORV,Bobby Phills,1,565,0.002,1995,0
267,ORV,Clifford Robinson,1,565,0.002,1995,0
268,ORV,Damon Stoudamire,1,565,0.002,1995,0
269,ORV,Nick Van Exel,1,565,0.002,1995,0
270,ORV,Clarence Weatherspoon,1,565,0.002,1995,0
271,1st,Michael Jordan,575,575,1.0,1996,1
272,1st,Karl Malone,575,575,1.0,1996,1
273,1st,Hakeem Olajuwon,514,575,0.894,1996,1
274,1st,Grant Hill,483,575,0.84,1996,1
275,1st,Tim Hardaway,435,575,0.757,1996,1
276,2nd,Gary Payton,386,575,0.671,1996,2
277,2nd,Scottie Pippen,337,575,0.586,1996,2
278,2nd,Patrick Ewing,327,575,0.569,1996,2
279,2nd,Glen Rice,316,575,0.55,1996,2
280,2nd,Mitch Richmond,198,575,0.344,1996,2
281,3rd,John Stockton,142,575,0.247,1996,3
282,3rd,Anthony Mason,110,575,0.191,1996,3
283,3rd,Shaquille O'Neal,72,575,0.125,1996,3
284,3rd,Anfernee Hardaway,62,575,0.108,1996,3
285,3rd,Vin Baker,61,575,0.106,1996,3
286,ORV,Alonzo Mourning,67,575,0.117,1996,0
287,ORV,Tom Gugliotta,60,575,0.104,1996,0
288,ORV,Mookie Blaylock,57,575,0.099,1996,0
289,ORV,Kevin Johnson,57,575,0.099,1996,0
290,ORV,Dikembe Mutombo,55,575,0.096,1996,0
291,ORV,Charles Barkley,47,575,0.082,1996,0
292,ORV,Latrell Sprewell,44,575,0.077,1996,0
293,ORV,Terrell Brandon,30,575,0.052,1996,0
294,ORV,Chris Webber,29,575,0.05,1996,0
295,ORV,Eddie Jones,25,575,0.043,1996,0
296,ORV,Christian Laettner,20,575,0.035,1996,0
297,ORV,Mark Jackson,11,575,0.019,1996,0
298,ORV,Shawn Kemp,11,575,0.019,1996,0
299,ORV,Steve Smith,11,575,0.019,1996,0
300,ORV,Reggie Miller,9,575,0.016,1996,0
301,ORV,Dennis Rodman,9,575,0.016,1996,0
302,ORV,Damon Stoudamire,8,575,0.014,1996,0
303,ORV,Rod Strickland,7,575,0.012,1996,0
304,ORV,Kenny Anderson,6,575,0.01,1996,0
305,ORV,Kevin Garnett,6,575,0.01,1996,0
306,ORV,Allen Iverson,3,575,0.005,1996,0
307,ORV,Loy Vaught,3,575,0.005,1996,0
308,ORV,Nick Van Exel,2,575,0.003,1996,0
309,ORV,Kendall Gill,1,575,0.002,1996,0
310,ORV,Jason Kidd,1,575,0.002,1996,0
311,ORV,Clifford Robinson,1,575,0.002,1996,0
312,ORV,Glenn Robinson,1,575,0.002,1996,0
313,ORV,Antoine Walker,1,575,0.002,1996,0
314,1st,Michael Jordan,580,580,1.0,1997,1
315,1st,Karl Malone,580,580,1.0,1997,1
316,1st,Gary Payton,561,580,0.967,1997,1
317,1st,Shaquille O'Neal,544,580,0.938,1997,1
318,1st,Tim Duncan,370,580,0.638,1997,1
319,2nd,Tim Hardaway,345,580,0.595,1997,2
320,2nd,David Robinson,332,580,0.572,1997,2
321,2nd,Grant Hill,290,580,0.5,1997,2
322,2nd,Vin Baker,269,580,0.464,1997,2
323,2nd,Rod Strickland,173,580,0.298,1997,2
324,3rd,Scottie Pippen,201,580,0.347,1997,3
325,3rd,Glen Rice,179,580,0.309,1997,3
326,3rd,Mitch Richmond,139,580,0.24,1997,3
327,3rd,Reggie Miller,124,580,0.214,1997,3
328,3rd,Dikembe Mutombo,80,580,0.138,1997,3
329,ORV,John Stockton,64,580,0.11,1997,0
330,ORV,Jason Kidd,63,580,0.109,1997,0
331,ORV,Antoine Walker,62,580,0.107,1997,0
332,ORV,Steve Smith,62,580,0.107,1997,0
333,ORV,Dennis Rodman,41,580,0.071,1997,0
334,ORV,Alonzo Mourning,37,580,0.064,1997,0
335,ORV,Kevin Garnett,36,580,0.062,1997,0
336,ORV,Shawn Kemp,19,580,0.033,1997,0
337,ORV,Michael Finley,17,580,0.029,1997,0
338,ORV,Hakeem Olajuwon,16,580,0.028,1997,0
339,ORV,Eddie Jones,15,580,0.026,1997,0
340,ORV,Jayson Williams,13,580,0.022,1997,0
341,ORV,Allen Iverson,11,580,0.019,1997,0
342,ORV,Rik Smits,11,580,0.019,1997,0
343,ORV,Shareef Abdur-Rahim,10,580,0.017,1997,0
344,ORV,Stephon Marbury,10,580,0.017,1997,0
345,ORV,Arvydas Sabonis,10,580,0.017,1997,0
