Player,Year,All_Star
Charles Barkley,1990,1
Joe Dumars,1990,1
Patrick Ewing,1990,1
Michael Jordan,1990,1
Bernard King,1990,1
Brad Daugherty,1990,1
Hersey Hawkins,1990,1
Kevin McHale,1990,1
Robert Parish,1990,1
Ricky Pierce,1990,1
Alvin Robertson,1990,1
Dominique Wilkins,1990,1
Kevin Johnson,1990,1
Magic Johnson,1990,1
Karl Malone,1990,1
Chris Mullin,1990,1
David Robinson,1990,1
Tom Chambers,1990,1
Clyde Drexler,1990,1
Kevin Duckworth,1990,1
Tim Hardaway,1990,1
Terry Porter,1990,1
John Stockton,1990,1
James Worthy,1990,1
Charles Barkley,1991,1
Patrick Ewing,1991,1
Michael Jordan,1991,1
Scottie Pippen,1991,1
Isiah Thomas,1991,1
Michael Adams,1991,1
Brad Daugherty,1991,1
Joe Dumars,1991,1
Reggie Lewis,1991,1
Mark Price,1991,1
Dennis Rodman,1991,1
Kevin Willis,1991,1
Clyde Drexler,1991,1
Magic Johnson,1991,1
Karl Malone,1991,1
Chris Mullin,1991,1
David Robinson,1991,1
Tim Hardaway,1991,1
Jeff Hornacek,1991,1
Dan Majerle,1991,1
Dikembe Mutombo,1991,1
Hakeem Olajuwon,1991,1
John Stockton,1991,1
Otis Thorpe,1991,1
James Worthy,1991,1
Larry Johnson,1992,1
Michael Jordan,1992,1
Shaquille O'Neal,1992,1
Scottie Pippen,1992,1
Isiah Thomas,1992,1
Brad Daugherty,1992,1
Joe Dumars,1992,1
Patrick Ewing,1992,1
Larry Nance,1992,1
Mark Price,1992,1
Detlef Schrempf,1992,1
Dominique Wilkins,1992,1
Charles Barkley,1992,1
Clyde Drexler,1992,1
Karl Malone,1992,1
David Robinson,1992,1
John Stockton,1992,1
Sean Elliott,1992,1
Tim Hardaway,1992,1
Shawn Kemp,1992,1
Dan Majerle,1992,1
Danny Manning,1992,1
Hakeem Olajuwon,1992,1
Terry Porter,1992,1
Kenny Anderson,1993,1
B.J. Armstrong,1993,1
Derrick Coleman,1993,1
Shaquille O'Neal,1993,1
Scottie Pippen,1993,1
Mookie Blaylock,1993,1
Patrick Ewing,1993,1
Horace Grant,1993,1
Charles Oakley,1993,1
Mark Price,1993,1
John Starks,1993,1
Dominique Wilkins,1993,1
Clyde Drexler,1993,1
Shawn Kemp,1993,1
Karl Malone,1993,1
Hakeem Olajuwon,1993,1
Mitch Richmond,1993,1
Kevin Johnson,1993,1
Danny Manning,1993,1
Gary Payton,1993,1
Clifford Robinson,1993,1
David Robinson,1993,1
Latrell Sprewell,1993,1
John Stockton,1993,1
Anfernee Hardaway,1994,1
Grant Hill,1994,1
Reggie Miller,1994,1
Shaquille O'Neal,1994,1
Scottie Pippen,1994,1
Vin Baker,1994,1
