Player,Salary,Salary_Adj,Year
Patrick Ewing,"$4,250,000","$9,694,547",1990
Hot Rod Williams,"$3,785,000","$8,633,850",1990
Hakeem Olajuwon,"$3,175,000","$7,242,397",1990
Charles Barkley,"$2,900,000","$6,615,103",1990
Chris Mullin,"$2,850,000","$6,501,049",1990
Isiah Thomas,"$2,720,000","$6,204,510",1990
Danny Ferry,"$2,640,000","$6,022,024",1990
Robert Parish,"$2,500,000","$5,702,675",1990
Michael Jordan,"$2,500,000","$5,702,675",1990
Moses Malone,"$2,406,000","$5,488,254",1990
Magic Johnson,"$2,400,000","$5,474,568",1990
Wayman Tisdale,"$2,330,000","$5,314,893",1990
Pervis Ellison,"$2,300,000","$5,246,461",1990
David Robinson,"$2,265,000","$5,166,623",1990
Karl Malone,"$2,260,000","$5,155,218",1990
Ralph Sampson,"$2,250,000","$5,132,407",1990
Danny Manning,"$2,200,000","$5,018,354",1990
Blair Rasmussen,"$2,185,000","$4,984,138",1990
Chuck Person,"$2,150,000","$4,904,300",1990
Derrick Coleman,"$2,100,000","$4,790,247",1990
Dominique Wilkins,"$2,065,000","$4,710,409",1990
Tom Chambers,"$2,060,000","$4,699,004",1990
Sam Bowie,"$2,000,000","$4,562,140",1990
LaSalle Thompson,"$2,000,000","$4,562,140",1990
Willie Burton,"$2,000,000","$4,562,140",1990
Terry Porter,"$2,000,000","$4,562,140",1990
John Stockton,"$2,000,000","$4,562,140",1990
Mark Eaton,"$2,000,000","$4,562,140",1990
Sam Perkins,"$1,970,000","$4,493,708",1990
Terry Cummings,"$1,860,000","$4,242,790",1990
Sean Elliott,"$1,800,000","$4,105,926",1990
Mark Jackson,"$1,785,000","$4,071,710",1990
Otis Thorpe,"$1,760,000","$4,014,683",1990
A.C. Green,"$1,750,000","$3,991,872",1990
Benoit Benjamin,"$1,750,000","$3,991,872",1990
Kevin Johnson,"$1,750,000","$3,991,872",1990
Kevin Duckworth,"$1,710,000","$3,900,629",1990
Alton Lister,"$1,700,000","$3,877,819",1990
Gary Payton,"$1,685,000","$3,843,603",1990
Mahmoud Abdul-Rauf,"$1,660,000","$3,786,576",1990
Mike Gminski,"$1,650,000","$3,763,765",1990
Rolando Blackman,"$1,650,000","$3,763,765",1990
James Worthy,"$1,600,000","$3,649,712",1990
Alec Kessler,"$1,600,000","$3,649,712",1990
Jack Sikma,"$1,600,000","$3,649,712",1990
Bernard King,"$1,600,000","$3,649,712",1990
Dennis Scott,"$1,560,000","$3,558,469",1990
Jon Koncak,"$1,550,000","$3,535,658",1990
Glen Rice,"$1,550,000","$3,535,658",1990
Buck Williams,"$1,550,000","$3,535,658",1990
Derek Harper,"$1,519,000","$3,464,945",1990
Fat Lever,"$1,519,000","$3,464,945",1990
Bill Laimbeer,"$1,510,000","$3,444,415",1990
Larry Bird,"$1,500,000","$3,421,605",1990
Kendall Gill,"$1,500,000","$3,421,605",1990
Alex English,"$1,500,000","$3,421,605",1990
Danny Schayes,"$1,500,000","$3,421,605",1990
Johnny Dawkins,"$1,500,000","$3,421,605",1990
Kevin McHale,"$1,400,000","$3,193,498",1990
Mark Price,"$1,400,000","$3,193,498",1990
Vinnie Johnson,"$1,400,000","$3,193,498",1990
Sleepy Floyd,"$1,400,000","$3,193,498",1990
Xavier McDaniel,"$1,400,000","$3,193,498",1990
Greg Anderson,"$1,365,000","$3,113,660",1990
Ron Harper,"$1,365,000","$3,113,660",1990
Rik Smits,"$1,350,000","$3,079,444",1990
Rick Mahorn,"$1,330,000","$3,033,823",1990
Brad Daugherty,"$1,320,000","$3,011,012",1990
Manute Bol,"$1,300,000","$2,965,391",1990
Brad Lohaus,"$1,275,000","$2,908,364",1990
Sarunas Marciulionis,"$1,270,000","$2,896,958",1990
Larry Nance,"$1,260,000","$2,874,148",1990
Roy Hinson,"$1,250,000","$2,851,337",1990
J.R. Reid,"$1,250,000","$2,851,337",1990
Dale Ellis,"$1,250,000","$2,851,337",1990
Jim Petersen,"$1,235,000","$2,817,121",1990
Brian Shaw,"$1,212,000","$2,764,656",1990
Drazen Petrovic,"$1,200,000","$2,737,284",1990
Johnny Newman,"$1,200,000","$2,737,284",1990
Tony Campbell,"$1,200,000","$2,737,284",1990
Armen Gilliam,"$1,200,000","$2,737,284",1990
Clyde Drexler,"$1,180,000","$2,691,662",1990
Detlef Schrempf,"$1,160,000","$2,646,041",1990
Randy Breuer,"$1,150,000","$2,623,230",1990
Mark Aguirre,"$1,115,000","$2,543,393",1990
Bill Cartwright,"$1,100,000","$2,509,177",1990
Byron Scott,"$1,100,000","$2,509,177",1990
Ricky Pierce,"$1,100,000","$2,509,177",1990
Jeff Hornacek,"$1,100,000","$2,509,177",1990
Wayne Cooper,"$1,100,000","$2,509,177",1990
Terry Catledge,"$1,085,000","$2,474,961",1990
Felton Spencer,"$1,070,000","$2,440,744",1990
Ken Norman,"$1,050,000","$2,395,123",1990
Charles Oakley,"$1,050,000","$2,395,123",1990
Joe Dumars,"$1,035,000","$2,360,907",1990
Kiki Vandeweghe,"$1,025,000","$2,338,096",1990
Kelly Tripucka,"$1,000,000","$2,281,070",1990
Horace Grant,"$1,000,000","$2,281,070",1990
Stacey King,"$1,000,000","$2,281,070",1990
Herb Williams,"$1,000,000","$2,281,070",1990
Tyrone Hill,"$1,000,000","$2,281,070",1990
Charles Smith,"$1,000,000","$2,281,070",1990
Maurice Cheeks,"$1,000,000","$2,281,070",1990
Eddie Johnson,"$1,000,000","$2,281,070",1990
Hersey Hawkins,"$1,000,000","$2,281,070",1990
Thurl Bailey,"$1,000,000","$2,281,070",1990
John Williams,"$1,000,000","$2,281,070",1990
Joe Wolf,"$990,000","$2,258,259",1990
Rodney McCray,"$985,000","$2,246,854",1990
Sam Vincent,"$980,000","$2,235,448",1990
Derrick McKey,"$962,000","$2,194,389",1990
Chris Dudley,"$950,000","$2,167,016",1990
Bo Kimble,"$950,000","$2,167,016",1990
George McCloud,"$940,000","$2,144,205",1990
James Edwards,"$935,000","$2,132,800",1990
Lionel Simmons,"$930,000","$2,121,395",1990
Craig Ehlo,"$925,000","$2,109,989",1990
Dennis Hopson,"$915,000","$2,087,179",1990
Jeff Malone,"$915,000","$2,087,179",1990
Michael Cage,"$910,000","$2,075,773",1990
Frank Brickowski,"$905,000","$2,064,368",1990
Dell Curry,"$900,000","$2,052,963",1990
Lester Conner,"$900,000","$2,052,963",1990
Kurt Rambis,"$900,000","$2,052,963",1990
Walter Davis,"$900,000","$2,052,963",1990
Paul Pressey,"$900,000","$2,052,963",1990
Doc Rivers,"$895,000","$2,041,557",1990
James Donaldson,"$880,000","$2,007,341",1990
Dennis Rodman,"$880,000","$2,007,341",1990
Kenny Walker,"$875,000","$1,995,936",1990
Mark West,"$875,000","$1,995,936",1990
Alvin Robertson,"$870,000","$1,984,530",1990
Joe Kleine,"$850,000","$1,938,909",1990
William Bedford,"$850,000","$1,938,909",1990
Mitch Richmond,"$850,000","$1,938,909",1990
Darrell Griffith,"$850,000","$1,938,909",1990
Sidney Green,"$837,000","$1,909,255",1990
Trent Tucker,"$835,000","$1,904,693",1990
Tyrone Corbin,"$830,000","$1,893,288",1990
Michael Adams,"$825,000","$1,881,882",1990
Loy Vaught,"$825,000","$1,881,882",1990
Muggsy Bogues,"$805,000","$1,836,261",1990
Orlando Woolridge,"$805,000","$1,836,261",1990
Rumeal Robinson,"$800,000","$1,824,856",1990
Tree Rollins,"$800,000","$1,824,856",1990
Larry Smith,"$800,000","$1,824,856",1990
Travis Mays,"$800,000","$1,824,856",1990
Tom Hammonds,"$800,000","$1,824,856",1990
Tim McCormick,"$775,000","$1,767,829",1990
