Team,Payroll,Payroll_Adj,Year
Cleveland,"$14,403,000","$32,854,246",1990
New York,"$13,290,000","$30,315,416",1990
Detroit,"$12,910,000","$29,448,608",1990
LA Lakers,"$12,120,000","$27,646,565",1990
Atlanta,"$11,761,000","$26,827,658",1990
Dallas,"$11,693,000","$26,672,548",1990
Philadelphia,"$11,640,000","$26,551,652",1990
Milwaukee,"$11,595,000","$26,449,002",1990
Phoenix,"$11,463,000","$26,147,902",1990
Brooklyn,"$11,410,000","$26,027,003",1990
Boston,"$11,256,000","$25,675,719",1990
Portland,"$11,215,000","$25,582,195",1990
Golden State,"$11,150,000","$25,433,926",1990
San Antonio,"$11,057,000","$25,221,786",1990
Indiana,"$10,981,000","$25,048,425",1990
Utah,"$10,695,000","$24,396,040",1990
Oklahoma City,"$10,590,000","$24,156,528",1990
Houston,"$10,500,000","$23,951,232",1990
Charlotte,"$10,417,000","$23,761,902",1990
Denver,"$10,335,000","$23,574,853",1990
LA Clippers,"$10,245,000","$23,369,557",1990
Chicago,"$10,040,000","$22,901,939",1990
Washington,"$9,610,000","$21,921,080",1990
Sacramento,"$9,605,000","$21,909,674",1990
Miami,"$8,510,000","$19,411,901",1990
Minnesota,"$7,540,000","$17,199,264",1990
Orlando,"$7,532,000","$17,181,014",1990
Boston,"$25,343,000","$55,216,239",1991
Cleveland,"$16,882,000","$36,781,775",1991
Chicago,"$16,829,000","$36,666,301",1991
LA Lakers,"$15,673,000","$34,147,658",1991
Detroit,"$15,428,000","$33,613,861",1991
Indiana,"$15,090,000","$32,877,440",1991
Philadelphia,"$14,058,000","$30,628,962",1991
Phoenix,"$13,593,000","$29,615,842",1991
Oklahoma City,"$13,308,000","$28,994,897",1991
Houston,"$13,274,000","$28,920,820",1991
Dallas,"$13,004,000","$28,332,555",1991
LA Clippers,"$12,976,000","$28,271,548",1991
Atlanta,"$12,930,000","$28,171,326",1991
Utah,"$12,761,000","$27,803,115",1991
Portland,"$12,742,000","$27,761,718",1991
Washington,"$12,633,000","$27,524,234",1991
Charlotte,"$12,625,000","$27,506,806",1991
Brooklyn,"$12,598,000","$27,447,979",1991
Golden State,"$12,500,000","$27,234,460",1991
Sacramento,"$12,492,000","$27,217,031",1991
Milwaukee,"$12,451,000","$27,127,702",1991
New York,"$12,399,000","$27,014,405",1991
Orlando,"$12,250,000","$26,689,772",1991
Denver,"$11,879,000","$25,881,448",1991
San Antonio,"$11,587,000","$25,245,253",1991
Miami,"$11,514,000","$25,086,205",1991
Minnesota,"$10,763,000","$23,449,956",1991
Boston,"$25,217,000","$53,295,815",1992
Cleveland,"$19,676,000","$41,584,979",1992
LA Lakers,"$18,851,000","$39,841,350",1992
Chicago,"$18,536,000","$39,175,603",1992
San Antonio,"$18,083,000","$38,218,193",1992
Atlanta,"$18,036,000","$38,118,858",1992
Philadelphia,"$17,367,000","$36,704,936",1992
Washington,"$17,249,000","$36,455,543",1992
Portland,"$16,369,000","$34,595,677",1992
Brooklyn,"$16,314,000","$34,479,433",1992
Indiana,"$16,268,000","$34,382,213",1992
Houston,"$15,877,000","$33,555,838",1992
Golden State,"$15,473,000","$32,701,989",1992
Miami,"$15,125,000","$31,966,497",1992
Orlando,"$14,970,000","$31,638,906",1992
Utah,"$14,517,000","$30,681,498",1992
LA Clippers,"$14,288,000","$30,197,508",1992
Phoenix,"$14,280,000","$30,180,598",1992
Charlotte,"$14,150,000","$29,905,845",1992
Oklahoma City,"$14,033,000","$29,658,568",1992
Milwaukee,"$14,032,000","$29,656,453",1992
New York,"$14,001,000","$29,590,935",1992
Detroit,"$13,954,000","$29,491,604",1992
Sacramento,"$13,953,000","$29,489,489",1992
Denver,"$13,776,180","$29,115,781",1992
Minnesota,"$13,732,000","$29,022,408",1992
Dallas,"$10,859,000","$22,950,358",1992
Cleveland,"$23,711,000","$48,655,325",1993
Portland,"$23,534,000","$48,292,119",1993
LA Lakers,"$23,478,000","$48,177,205",1993
Atlanta,"$22,510,000","$46,190,855",1993
New York,"$22,109,000","$45,367,995",1993
Phoenix,"$21,485,000","$44,087,539",1993
LA Clippers,"$20,188,000","$41,426,075",1993
Brooklyn,"$20,107,000","$41,259,864",1993
Orlando,"$19,939,000","$40,915,123",1993
San Antonio,"$19,316,365","$39,637,469",1993
Golden State,"$19,239,000","$39,478,712",1993
Chicago,"$18,531,000","$38,025,887",1993
Charlotte,"$17,952,000","$36,837,769",1993
Boston,"$17,881,000","$36,692,077",1993
Miami,"$17,811,000","$36,548,438",1993
Sacramento,"$17,397,000","$35,698,901",1993
Indiana,"$17,196,000","$35,286,445",1993
Utah,"$16,990,000","$34,863,733",1993
Houston,"$16,757,000","$34,385,611",1993
Washington,"$16,240,000","$33,324,721",1993
Denver,"$16,110,000","$33,057,958",1993
Oklahoma City,"$15,967,000","$32,764,520",1993
Detroit,"$15,826,000","$32,475,184",1993
Minnesota,"$15,496,000","$31,798,022",1993
Philadelphia,"$15,354,000","$31,506,634",1993
Milwaukee,"$14,889,000","$30,552,449",1993
Dallas,"$14,321,000","$29,386,903",1993
LA Lakers,"$42,068,300","$84,224,992",1994
Orlando,"$29,069,916","$58,200,911",1994
Cleveland,"$28,106,000","$56,271,053",1994
Portland,"$26,658,000","$53,372,009",1994
New York,"$25,748,900","$51,551,899",1994
Indiana,"$24,918,500","$49,889,356",1994
Boston,"$24,462,000","$48,975,396",1994
Oklahoma City,"$24,073,500","$48,197,579",1994
Phoenix,"$23,170,884","$46,390,452",1994
Brooklyn,"$23,121,800","$46,292,181",1994
San Antonio,"$22,721,982","$45,491,704",1994
Chicago,"$22,053,129","$44,152,591",1994
Denver,"$21,940,500","$43,927,096",1994
Atlanta,"$21,869,340","$43,784,628",1994
Sacramento,"$20,209,000","$40,460,458",1994
Miami,"$20,142,000","$40,326,318",1994
Golden State,"$19,797,300","$39,636,195",1994
Philadelphia,"$19,709,510","$39,460,430",1994
Charlotte,"$19,346,658","$38,733,963",1994
